#MACRO
0x00000000	0xFFFFFFFF	_	_	nop	
0x24000000	0xFFE00000	_	_	li	%t, %i
0x34000000	0xFFE00000	_	_	li	%t, %I
0x00000021	0xFC1F07FF	_	_	move	%d, %s
0x00000025	0xFC1F07FF	_	_	move	%d, %s
0x10000000	0xFFFF0000	h	b	b 	%O
0x04010000	0xFFFF0000	h	b	b 	%O
0x04110000	0xFFFF0000	h	j	bal	%O
0x14000000	0xFC1F0000	h	b	bnez	%s, %O
0x54000000	0xFC1F0000	h	b	bnezl	%s, %O
0x10000000	0xFC1F0000	h	b	beqz	%s, %O
0x50000000	0xFC1F0000	h	b	beqzl	%s, %O
0x00000022	0xFFE007FF	_	_	neg	%d, %t
0x00000023	0xFFE007FF	_	_	negu	%d, %t
0x00000027	0xFC1F07FF	_	_	not	%d, %s
0x0000F809	0xFC1FFFFF	r	j	jalr	%J
#MIPS
0x00000020	0xFC0007FF	_	_	add	%d, %s, %t
0x20000000	0xFC000000	_	_	addi	%t, %s, %i
0x24000000	0xFC000000	_	_	addiu	%t, %s, %i
0x00000021	0xFC0007FF	_	_	addu	%d, %s, %t
0x00000024	0xFC0007FF	_	_	and	%d, %s, %t
0x30000000	0xFC000000	_	_	andi	%t, %s, %I
0x10000000	0xFC000000	h	b	beq	%s, %t, %O
0x50000000	0xFC000000	h	b	beql	%s, %t, %O
0x04010000	0xFC1F0000	h	b	bgez	%s, %O
0x04110000	0xFC1F0000	h	j	bgezal	%s, %O
0x04030000	0xFC1F0000	h	b	bgezl	%s, %O
0x1C000000	0xFC1F0000	h	b	bgtz	%s, %O
0x5C000000	0xFC1F0000	h	b	bgtzl	%s, %O
0x7C000520	0xFFE007FF	_	p	bitrev	%d, %t
0x18000000	0xFC1F0000	h	b	blez	%s, %O
0x58000000	0xFC1F0000	h	b	blezl	%s, %O
0x04000000	0xFC1F0000	h	b	bltz	%s, %O
0x04020000	0xFC1F0000	h	b	bltzl	%s, %O
0x04100000	0xFC1F0000	h	j	bltzal	%s, %O
0x04120000	0xFC1F0000	h	j	bltzall	%s, %O
0x14000000	0xFC000000	h	b	bne	%s, %t, %O
0x54000000	0xFC000000	h	b	bnel	%s, %t, %O
0x0000000D	0xFC00003F	_	_	break	%c
0xbc000000	0xfc000000	_	_	cache	%k, %o
0x40400000	0xFFE007FF	_	p	cfc0	%t, %p
0x00000017	0xFC1F07FF	_	p	clo	%d, %s
0x00000016	0xFC1F07FF	_	p	clz	%d, %s
0x40C00000	0xFFE007FF	_	p	ctc0	%t, %p
0x0000002C	0xFC0007FF	_	p	max	%d, %s, %t
0x0000002D	0xFC0007FF	_	p	min	%d, %s, %t
0x7000003F	0xFFFFFFFF	_	p	dbreak	
0x0000001A	0xFC00FFFF	_	_	div	%s, %t
0x0000001B	0xFC00FFFF	_	_	divu	%s, %t
0x7000003E	0xFFFFFFFF	_	p	dret	
0x42000018	0xFFFFFFFF	_	_	eret	
0x7C000000	0xFC00003F	_	p	ext	%t, %s, %a, %ne
0x7C000004	0xFC00003F	_	p	ins	%t, %s, %a, %ni
0x08000000	0xFC000000	l	J	j 	%j
0x00000008	0xFC1FFFFF	r	J	jr	%J
0x00000009	0xFC1F07FF	r	j	jalr	%J, %d
0x0C000000	0xFC000000	l	j	jal	%j
0x80000000	0xFC000000	_	_	lb	%t, %o
0x90000000	0xFC000000	_	_	lbu	%t, %o
0x84000000	0xFC000000	_	_	lh	%t, %o
0x94000000	0xFC000000	_	_	lhu	%t, %o
0xC0000000	0xFC000000	_	_	ll	%t, %o
0x3C000000	0xFFE00000	_	_	lui	%t, %I
0x8C000000	0xFC000000	_	_	lw	%t, %o
0x88000000	0xFC000000	_	_	lwl	%t, %o
0x98000000	0xFC000000	_	_	lwr	%t, %o
0x0000001C	0xFC00FFFF	_	p	madd	%s, %t
0x0000001D	0xFC00FFFF	_	p	maddu	%s, %t
0x40000000	0xFFE007FF	_	_	mfc0	%t, %0
0x7000003D	0xFFE007FF	_	p	mfdr	%t, %r
0x00000010	0xFFFF07FF	_	_	mfhi	%d
0x70000024	0xFFE007FF	_	p	mfic	%t, %p
0x00000012	0xFFFF07FF	_	_	mflo	%d
0x0000000B	0xFC0007FF	_	p	movn	%d, %s, %t
0x0000000A	0xFC0007FF	_	p	movz	%d, %s, %t
0x0000002e	0xfc00ffff	_	p	msub	%d, %t
0x0000002f	0xfc00ffff	_	p	msubu	%d, %t
0x40800000	0xFFE007FF	_	_	mtc0	%t, %0
0x7080003D	0xFFE007FF	_	p	mtdr	%t, %r
0x70000026	0xFFE007FF	_	p	mtic	%t, %p
0x70000000	0xFFFFFFFF	_	p	halt	
0x00000011	0xFC1FFFFF	_	_	mthi	%s
0x00000013	0xFC1FFFFF	_	_	mtlo	%s
0x00000018	0xFC00FFFF	_	_	mult	%s, %t
